Pregunta,Opción 1,Opción 2,Opción 3,Opción 4,Opción 5
¿Cómo considera el actual sistema de control de asistencia?,Eficiente,Poco eficiente,Deficiente,No existe un sistema,
¿Con qué frecuencia hay errores en el control de asistencia actual?,Nunca,Rara vez,A veces,Frecuentemente,Siempre
¿Cree que un sistema automatizado mejoraría la gestión de asistencia?,Sí,No,Tal vez,,
¿Cómo le gustaría recibir notificaciones de asistencia?,Correo electrónico,Mensaje de texto,Aplicación móvil,No deseo recibir notificaciones,
¿Considera importante que los padres sean notificados en tiempo real?,Sí,No,Indiferente,,
¿Cuáles cree que son los principales problemas del sistema actual?,Falta de control,Errores manuales,Retraso en la información,No hay problemas,
¿Con qué frecuencia revisa la asistencia de los estudiantes?,Diariamente,Semanalmente,Mensualmente,Casi nunca,
¿Qué nivel de seguridad cree que debería tener el sistema?,Básico,Medio,Alto,Muy alto,
¿Le gustaría poder descargar reportes de asistencia?,Sí,No,Indiferente,,
¿Considera necesario que los profesores tengan acceso a reportes?,Sí,No,Indiferente,,
¿Qué tan fácil cree que debería ser el uso del sistema?,Muy fácil,Fácil,Intermedio,Difícil,
¿Qué función considera más importante en el sistema?,Registro rápido,Notificación a padres,Reportes detallados,Interfaz amigable,
¿Estaría dispuesto a recibir capacitación sobre el uso del sistema?,Sí,No,Tal vez,,
